in s,C2 in V
-4.3875128E-02,1.28174E-02
-4.3874528E-02,1.20850E-02
-4.3873928E-02,9.88770E-03
-4.3873328E-02,1.50146E-02
-4.3872728E-02,1.06201E-02
-4.3872128E-02,1.35498E-02
-4.3871528E-02,1.06201E-02
-4.3870928E-02,1.28174E-02
-4.3870328E-02,6.22559E-03
-4.3869728E-02,1.28174E-02
-4.3869128E-02,8.42285E-03
-4.3868528E-02,1.35498E-02
-4.3867928E-02,1.35498E-02
-4.3867328E-02,8.42285E-03
-4.3866728E-02,1.13525E-02
-4.3866128E-02,1.20850E-02
-4.3865528E-02,1.57471E-02
-4.3864928E-02,9.88770E-03
-4.3864328E-02,1.28174E-02
-4.3863728E-02,9.88770E-03
-4.3863128E-02,1.42822E-02
-4.3862528E-02,1.35498E-02
-4.3861928E-02,2.56348E-03
-4.3861328E-02,1.35498E-02
-4.3860728E-02,9.15527E-03
-4.3860128E-02,1.57471E-02
-4.3859528E-02,1.20850E-02
-4.3858928E-02,1.06201E-02
-4.3858328E-02,1.06201E-02
-4.3857728E-02,1.28174E-02
-4.3857128E-02,1.13525E-02
-4.3856528E-02,7.69043E-03
-4.3855928E-02,1.57471E-02
-4.3855328E-02,1.13525E-02
-4.3854728E-02,1.50146E-02
-4.3854128E-02,1.20850E-02
-4.3853528E-02,9.15527E-03
-4.3852928E-02,1.35498E-02
-4.3852328E-02,1.06201E-02
-4.3851728E-02,1.13525E-02
-4.3851128E-02,1.57471E-02
-4.3850528E-02,1.42822E-02
-4.3849928E-02,9.88770E-03
-4.3849328E-02,1.42822E-02
-4.3848728E-02,1.28174E-02
-4.3848128E-02,1.35498E-02
-4.3847528E-02,1.13525E-02
-4.3846928E-02,1.28174E-02
-4.3846328E-02,1.06201E-02
-4.3845728E-02,1.64795E-02
-4.3845128E-02,9.88770E-03
-4.3844528E-02,1.28174E-02
-4.3843928E-02,1.28174E-02
-4.3843328E-02,1.28174E-02
-4.3842728E-02,1.42822E-02
-4.3842128E-02,1.20850E-02
-4.3841528E-02,1.42822E-02
-4.3840928E-02,1.35498E-02
-4.3840328E-02,1.28174E-02
-4.3839728E-02,6.22559E-03
-4.3839128E-02,1.35498E-02
-4.3838528E-02,1.35498E-02
-4.3837928E-02,1.20850E-02
-4.3837328E-02,1.20850E-02
-4.3836728E-02,8.42285E-03
